zone,Date,KWH,unit
SE,2015-09-30,1820.9673615498,4749
SE,2016-09-30,2369.6836841008544,4799
SE,2017-09-30,1795.5957579538365,4809
SE,2014-10-31,1533.8964860287892,4724
SE,2015-10-31,1504.26949758251,4757
SE,2016-10-31,1993.5477879799666,4792
SE,2017-10-31,1627.2617268576173,4818
SE,2014-11-30,1335.3993664202746,4735
SE,2015-11-30,1366.0355042016806,4760
SE,2016-11-30,1831.182726326743,4805
SE,2017-11-30,1416.955357142857,4816
SE,2014-12-31,1787.9220363118548,2809
SE,2015-12-31,1507.1016984692808,4769
SE,2016-12-31,1685.4291952588896,4809
SE,2017-12-31,1403.3253588516745,4807
SW,2015-01-31,1300.7261529721634,38726
SW,2016-01-31,1432.8871687695125,38757
SW,2017-01-31,1344.7721586439645,39409
SW,2018-01-31,1547.0850371043464,39618
SW,2015-02-28,1354.8255669783541,38714
SW,2016-02-28,1252.2695486495534,38839
SW,2017-02-28,1204.8183940716679,39404
SW,2018-02-28,1318.9567876276155,39572
SW,2014-03-31,1055.765952443167,38270
SW,2015-03-31,1166.5694945848375,38780
SW,2016-03-31,1183.992102081243,38871
SW,2017-03-31,1133.9841925269159,39475
SW,2014-04-30,1158.7515903557685,38199
SW,2015-04-30,1333.420527496326,38787
SW,2016-04-30,1400.0136206807765,38838
SW,2017-04-30,1409.1517512690355,39400
SW,2014-05-31,1322.0941915636895,38358
SW,2015-05-31,1440.3960618338538,38749
SW,2016-05-31,1369.066781482148,38903
SW,2017-05-31,1417.5302450520767,39461
SW,2014-06-30,1494.916096873532,38318
SW,2015-06-30,1622.1076609889967,38807
SW,2016-06-30,1958.4297408262767,38970
SW,2017-06-30,1639.3663828061638,39456
SW,2014-07-31,1663.5085651709123,38353
SW,2015-07-31,1745.1985366105014,38814
SW,2016-07-31,2185.257217171847,38831
SW,2017-07-31,1806.379145952836,39225
SW,2014-08-31,1684.7898462098935,38429
SW,2015-08-31,1721.171834325627,38799
SW,2016-08-31,2009.5553581400072,39398
SW,2017-08-31,1649.1033837438672,39542
SW,2014-09-30,1691.6966245599504,38632
SW,2015-09-30,1671.5315596614369,38752
SW,2016-09-30,2221.5658162228096,39352
SW,2017-09-30,1904.9054727626951,39523
SW,2014-10-31,1378.6364624301386,38648
SW,2015-10-31,1443.3455946795896,38794
SW,2016-10-31,1802.7023044284663,39359
SW,2017-10-31,1565.3925523857613,39610
SW,2014-11-30,1168.8975434236754,38631
SW,2015-11-30,1368.678492239468,38786
SW,2016-11-30,1506.4582031547664,39369
SW,2017-11-30,1268.970689219894,39610
SW,2014-12-31,1251.044968268359,38605
SW,2015-12-31,1250.3113706080994,38793
SW,2016-12-31,1411.9116989946176,39388
SW,2017-12-31,1274.2719373579187,39590
All,2015-01-31,1421.0355057386403,89394
All,2016-01-31,1507.0735367906962,89683
All,2017-01-31,1409.9142769581017,91364
All,2018-01-31,1610.5619530528961,89931
All,2015-02-28,1427.2899464017403,89182
All,2016-02-28,1397.2712333026127,90059
All,2017-02-28,1314.3354158232764,91397
All,2018-02-28,1465.3942928371098,89852
All,2014-03-31,1146.0393075562863,88787
All,2015-03-31,1277.35709822126,89614
All,2016-03-31,1303.0939819951727,87421
All,2017-03-31,1202.8994849879466,91260
All,2014-04-30,1207.0111873186409,83398
All,2015-04-30,1412.3620017645549,89541
All,2016-04-30,1440.7284395456834,89365
All,2017-04-30,1458.8723633209254,91071
All,2014-05-31,1367.5832312722614,88999
All,2015-05-31,1534.8544137830993,89617
All,2016-05-31,1468.3597554221406,90278
All,2017-05-31,1494.1153711637667,91496
All,2014-06-30,1584.465720907209,88888
All,2015-06-30,1765.3728978155561,87528
All,2016-06-30,2121.534713071925,88036
All,2017-06-30,1778.3642681838464,89640
All,2014-07-31,1812.6187134502925,86355
All,2015-07-31,1977.3199482731711,89702
All,2016-07-31,2388.3387745603245,90237
All,2017-07-31,1926.2115499994545,91671
All,2014-08-31,1845.6521327561327,86625
All,2015-08-31,1920.004521586931,89128
All,2016-08-31,2266.6062926322447,88548
All,2017-08-31,1796.1937855998576,89888
All,2014-09-30,1854.5232766941258,89102
All,2015-09-30,1864.4099388779493,87857
All,2016-09-30,2411.511358393567,91034
All,2017-09-30,2062.985248911048,92061
All,2014-10-31,1527.447904493481,87282
All,2015-10-31,1658.6424197211954,89812
All,2016-10-31,2012.4094404171296,90907
All,2017-10-31,1640.194434797708,92144
All,2014-11-30,1276.9873672753379,86363
All,2015-11-30,1435.7327832470266,87865
All,2016-11-30,1645.8834263656004,91187
All,2017-11-30,1435.4994681774767,92136
All,2014-12-31,1338.732858690605,83993
All,2015-12-31,1399.5637906141226,89347
All,2016-12-31,1536.181567165,90903
All,2017-12-31,1336.8957469726147,91911
